match,match_ID,teamInnings,battingPos,batsmanName,Out/Not Out,runs,balls,4s,6s,SR
Zimbabwe VS West Indies,Test # 2491,Innings 2,4,Jermaine Blackwood ,Out,22,32,3,1,68.75
Zimbabwe VS West Indies,Test # 2491,Innings 2,5,Kyle Mayers ,Out,30,54,3,0,55.55
Zimbabwe VS West Indies,Test # 2491,Innings 2,6,Roston Chase ,Out,70,132,4,1,53.03
Zimbabwe VS West Indies,Test # 2491,Innings 2,7,Joshua Da Silva †,Out,44,111,5,0,39.63
Zimbabwe VS West Indies,Test # 2491,Innings 2,8,Jason Holder ,Out,3,14,0,0,21.42
Zimbabwe VS West Indies,Test # 2491,Innings 2,9,Alzarri Joseph ,Out,4,2,1,0,200.00
Zimbabwe VS West Indies,Test # 2491,Innings 2,10,Gudakesh Motie ,Out,12,23,2,0,52.17
Zimbabwe VS West Indies,Test # 2491,Innings 2,11,Shannon Gabriel ,Not Out,0,3,0,0,0.00
New Zealand VS England,Test # 2492,Innings 1,1,Zak Crawley ,Out,4,14,0,0,28.57
New Zealand VS England,Test # 2492,Innings 1,2,Ben Duckett ,Out,84,68,14,0,123.52
New Zealand VS England,Test # 2492,Innings 1,3,Ollie Pope ,Out,42,65,6,0,64.61
New Zealand VS England,Test # 2492,Innings 1,4,Joe Root ,Out,14,22,2,0,63.63
New Zealand VS England,Test # 2492,Innings 1,5,Harry Brook ,Out,89,81,15,1,109.87
New Zealand VS England,Test # 2492,Innings 1,6,Ben Stokes (c),Out,19,28,3,0,67.85
New Zealand VS England,Test # 2492,Innings 1,7,Ben Foakes †,Out,38,56,5,0,67.85
New Zealand VS England,Test # 2492,Innings 1,8,Stuart Broad ,Out,2,6,0,0,33.33
New Zealand VS England,Test # 2492,Innings 1,9,Ollie Robinson ,Not Out,15,11,3,0,136.36
New Zealand VS England,Test # 2492,Innings 1,10,Jack Leach ,Out,1,5,0,0,20.00
New Zealand VS England,Test # 2492,Innings 2,1,Tom Latham ,Out,1,13,0,0,7.69
New Zealand VS England,Test # 2492,Innings 2,2,Devon Conway ,Out,77,151,7,1,50.99
New Zealand VS England,Test # 2492,Innings 2,3,Kane Williamson ,Out,6,21,1,0,28.57
New Zealand VS England,Test # 2492,Innings 2,4,Henry Nicholls ,Out,4,7,0,0,57.14
New Zealand VS England,Test # 2492,Innings 2,5,Neil Wagner ,Out,27,32,1,2,84.37
New Zealand VS England,Test # 2492,Innings 2,6,Daryl Mitchell ,Out,0,10,0,0,0.00
New Zealand VS England,Test # 2492,Innings 2,7,Tom Blundell †,Out,138,181,19,1,76.24
New Zealand VS England,Test # 2492,Innings 2,8,Michael Bracewell ,Out,7,14,1,0,50.00
New Zealand VS England,Test # 2492,Innings 2,9,Scott Kuggeleijn ,Out,20,36,2,1,55.55
New Zealand VS England,Test # 2492,Innings 2,10,Tim Southee (c),Out,10,13,1,0,76.92
New Zealand VS England,Test # 2492,Innings 2,11,Blair Tickner ,Not Out,3,24,0,0,12.50
India VS Australia,Test # 2493,Innings 1,1,David Warner ,Out,15,44,3,0,34.09
India VS Australia,Test # 2493,Innings 1,2,Usman Khawaja ,Out,81,125,12,1,64.80
India VS Australia,Test # 2493,Innings 1,3,Marnus Labuschagne ,Out,18,25,4,0,72.00
India VS Australia,Test # 2493,Innings 1,4,Steven Smith ,Out,0,2,0,0,0.00
India VS Australia,Test # 2493,Innings 1,5,Travis Head ,Out,12,30,1,1,40.00
India VS Australia,Test # 2493,Innings 1,6,Peter Handscomb ,Not Out,72,142,9,0,50.70
India VS Australia,Test # 2493,Innings 1,7,Alex Carey †,Out,0,5,0,0,0.00
India VS Australia,Test # 2493,Innings 1,8,Pat Cummins (c),Out,33,59,3,2,55.93
India VS Australia,Test # 2493,Innings 1,9,Todd Murphy ,Out,0,4,0,0,0.00
India VS Australia,Test # 2493,Innings 1,10,Nathan Lyon ,Out,10,26,2,0,38.46
India VS Australia,Test # 2493,Innings 1,11,Matthew Kuhnemann ,Out,6,12,0,0,50.00
India VS Australia,Test # 2493,Innings 2,1,Rohit Sharma (c),Out,32,69,2,0,46.37
India VS Australia,Test # 2493,Innings 2,2,KL Rahul ,Out,17,41,0,1,41.46
India VS Australia,Test # 2493,Innings 2,3,Cheteshwar Pujara ,Out,0,7,0,0,0.00
India VS Australia,Test # 2493,Innings 2,4,Virat Kohli ,Out,44,84,4,0,52.38
India VS Australia,Test # 2493,Innings 2,5,Shreyas Iyer ,Out,4,15,0,0,26.66
India VS Australia,Test # 2493,Innings 2,6,Ravindra Jadeja ,Out,26,74,4,0,35.13
India VS Australia,Test # 2493,Innings 2,7,Srikar Bharat †,Out,6,12,1,0,50.00
India VS Australia,Test # 2493,Innings 2,8,Axar Patel ,Out,74,115,9,3,64.34
India VS Australia,Test # 2493,Innings 2,9,Ravichandran Ashwin ,Out,37,71,5,0,52.11
India VS Australia,Test # 2493,Innings 2,10,Mohammed Shami ,Out,2,9,0,0,22.22
India VS Australia,Test # 2493,Innings 2,11,Mohammed Siraj ,Not Out,1,4,0,0,25.00
New Zealand VS England,Test # 2494,Innings 1,1,Zak Crawley ,Out,2,12,0,0,16.66
New Zealand VS England,Test # 2494,Innings 1,2,Ben Duckett ,Out,9,21,0,0,42.85
New Zealand VS England,Test # 2494,Innings 1,3,Ollie Pope ,Out,10,6,2,0,166.66
New Zealand VS England,Test # 2494,Innings 1,4,Joe Root ,Not Out,153,224,10,3,68.30
New Zealand VS England,Test # 2494,Innings 1,5,Harry Brook ,Out,186,176,24,5,105.68
New Zealand VS England,Test # 2494,Innings 1,6,Ben Stokes (c),Out,27,28,5,0,96.42
New Zealand VS England,Test # 2494,Innings 1,7,Ben Foakes †,Out,0,5,0,0,0.00
New Zealand VS England,Test # 2494,Innings 1,8,Stuart Broad ,Out,14,17,2,0,82.35
New Zealand VS England,Test # 2494,Innings 1,9,Ollie Robinson ,Out,18,29,1,0,62.06
New Zealand VS England,Test # 2494,Innings 1,10,Jack Leach ,Not Out,6,5,1,0,120.00
New Zealand VS England,Test # 2494,Innings 2,1,Tom Latham ,Out,35,76,3,1,46.05
New Zealand VS England,Test # 2494,Innings 2,2,Devon Conway ,Out,0,3,0,0,0.00
New Zealand VS England,Test # 2494,Innings 2,3,Kane Williamson ,Out,4,5,0,0,80.00
New Zealand VS England,Test # 2494,Innings 2,4,Will Young ,Out,2,9,0,0,22.22
New Zealand VS England,Test # 2494,Innings 2,5,Henry Nicholls ,Out,30,38,5,0,78.94
New Zealand VS England,Test # 2494,Innings 2,6,Daryl Mitchell ,Out,13,39,1,0,33.33
New Zealand VS England,Test # 2494,Innings 2,7,Tom Blundell †,Out,38,79,5,0,48.10
New Zealand VS England,Test # 2494,Innings 2,8,Michael Bracewell ,Out,6,9,1,0,66.66
New Zealand VS England,Test # 2494,Innings 2,9,Tim Southee (c),Out,73,49,5,6,148.97
New Zealand VS England,Test # 2494,Innings 2,10,Matt Henry ,Out,6,10,1,0,60.00
New Zealand VS England,Test # 2494,Innings 2,11,Neil Wagner ,Not Out,0,5,0,0,0.00
South Africa VS West Indies,Test # 2495,Innings 1,1,Dean Elgar ,Out,71,118,11,0,60.16
South Africa VS West Indies,Test # 2495,Innings 1,2,Aiden Markram ,Out,115,174,18,0,66.09
South Africa VS West Indies,Test # 2495,Innings 1,3,Tony de Zorzi ,Out,28,69,4,0,40.57
South Africa VS West Indies,Test # 2495,Innings 1,4,Temba Bavuma (c),Out,0,2,0,0,0.00
South Africa VS West Indies,Test # 2495,Innings 1,5,Keegan Petersen ,Out,14,50,1,0,28.00
South Africa VS West Indies,Test # 2495,Innings 1,6,Heinrich Klaasen †,Out,20,22,4,0,90.90
South Africa VS West Indies,Test # 2495,Innings 1,7,Senuran Muthusamy ,Out,3,13,0,0,23.07
South Africa VS West Indies,Test # 2495,Innings 1,8,Marco Jansen ,Not Out,23,43,4,0,53.48
South Africa VS West Indies,Test # 2495,Innings 1,9,Kagiso Rabada ,Out,8,15,2,0,53.33
