match,match_ID,teamInnings,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
Zimbabwe VS West Indies,Test # 2491,Innings 2,Donald Tiripano,13,2,26,0,2.00,64,1,0,1,1
Zimbabwe VS West Indies,Test # 2491,Innings 2,Brandon Mavuta,24,3,73,3,3.04,103,7,1,0,0
Zimbabwe VS West Indies,Test # 2491,Innings 2,Milton Shumba,4,0,17,0,4.25,13,1,0,0,0
New Zealand VS England,Test # 2492,Innings 1,Tim Southee,13,1,71,2,5.46,50,10,1,0,0
New Zealand VS England,Test # 2492,Innings 1,Neil Wagner,16.2,0,82,4,5.02,62,11,0,0,5
New Zealand VS England,Test # 2492,Innings 1,Blair Tickner,13,0,72,1,5.53,50,14,0,0,1
New Zealand VS England,Test # 2492,Innings 1,Scott Kuggeleijn,13,0,80,2,6.15,41,12,0,4,0
New Zealand VS England,Test # 2492,Innings 1,Michael Bracewell,3,0,13,0,4.33,10,1,0,0,0
New Zealand VS England,Test # 2492,Innings 2,James Anderson,16.5,5,36,3,2.13,85,4,0,0,1
New Zealand VS England,Test # 2492,Innings 2,Stuart Broad,17,2,72,1,4.23,71,7,2,0,1
New Zealand VS England,Test # 2492,Innings 2,Ollie Robinson,19,2,54,4,2.84,87,5,0,0,0
New Zealand VS England,Test # 2492,Innings 2,Jack Leach,18,3,84,1,4.66,79,11,2,0,0
New Zealand VS England,Test # 2492,Innings 2,Joe Root,5,2,15,0,3.00,25,1,1,0,0
New Zealand VS England,Test # 2492,Innings 2,Ben Stokes,7,0,38,1,5.42,23,4,0,1,3
India VS Australia,Test # 2493,Innings 1,Mohammed Shami,14.4,4,60,4,4.09,65,11,0,0,1
India VS Australia,Test # 2493,Innings 1,Mohammed Siraj,10,2,30,0,3.00,48,6,0,0,0
India VS Australia,Test # 2493,Innings 1,Ravichandran Ashwin,21,4,57,3,2.71,102,3,4,0,0
India VS Australia,Test # 2493,Innings 1,Ravindra Jadeja,21,2,68,3,3.23,92,11,0,0,1
India VS Australia,Test # 2493,Innings 1,Axar Patel,12,2,34,0,2.83,50,3,0,0,0
India VS Australia,Test # 2493,Innings 2,Pat Cummins,13,2,41,1,3.15,55,5,0,0,0
India VS Australia,Test # 2493,Innings 2,Matthew Kuhnemann,21.3,4,72,2,3.34,95,6,3,0,0
India VS Australia,Test # 2493,Innings 2,Nathan Lyon,29,5,67,5,2.31,138,9,0,0,0
India VS Australia,Test # 2493,Innings 2,Todd Murphy,18,2,53,2,2.94,76,4,1,0,0
India VS Australia,Test # 2493,Innings 2,Travis Head,2,0,10,0,5.00,6,1,0,0,0
New Zealand VS England,Test # 2494,Innings 1,Tim Southee,24,5,93,1,3.87,97,8,2,0,0
New Zealand VS England,Test # 2494,Innings 1,Matt Henry,22.1,3,100,4,4.51,86,15,0,1,0
New Zealand VS England,Test # 2494,Innings 1,Daryl Mitchell,9,1,61,0,6.77,25,3,4,0,0
New Zealand VS England,Test # 2494,Innings 1,Neil Wagner,21,1,119,1,5.66,66,14,1,1,0
New Zealand VS England,Test # 2494,Innings 1,Michael Bracewell,11,0,54,2,4.90,39,5,1,0,0
New Zealand VS England,Test # 2494,Innings 2,James Anderson,10,1,37,3,3.70,43,5,0,0,0
New Zealand VS England,Test # 2494,Innings 2,Stuart Broad,14.2,2,61,4,4.25,59,5,2,0,0
New Zealand VS England,Test # 2494,Innings 2,Ollie Robinson,12,4,31,0,2.58,60,3,1,0,1
New Zealand VS England,Test # 2494,Innings 2,Jack Leach,17,1,80,3,4.70,71,8,4,0,1
South Africa VS West Indies,Test # 2495,Innings 1,Kemar Roach,17,1,71,1,4.17,74,12,0,0,2
South Africa VS West Indies,Test # 2495,Innings 1,Alzarri Joseph,18.3,0,81,5,4.37,75,13,0,1,1
South Africa VS West Indies,Test # 2495,Innings 1,Kyle Mayers,10,2,23,1,2.30,49,4,0,0,0
South Africa VS West Indies,Test # 2495,Innings 1,Shannon Gabriel,12,1,49,1,4.08,51,7,0,1,4
South Africa VS West Indies,Test # 2495,Innings 1,Jason Holder,14,1,64,1,4.57,60,12,0,0,2
South Africa VS West Indies,Test # 2495,Innings 1,Roston Chase,14,0,33,0,2.35,61,2,0,0,1
South Africa VS West Indies,Test # 2495,Innings 1,Jermaine Blackwood,1,0,4,0,4.00,2,0,0,0,0
South Africa VS West Indies,Test # 2495,Innings 2,Kagiso Rabada,16,4,44,2,2.75,77,7,0,0,1
South Africa VS West Indies,Test # 2495,Innings 2,Marco Jansen,17,3,64,1,3.76,76,5,2,1,1
South Africa VS West Indies,Test # 2495,Innings 2,Anrich Nortje,16,5,36,5,2.25,76,4,0,1,0
South Africa VS West Indies,Test # 2495,Innings 2,Gerald Coetzee,12,0,45,2,3.75,54,7,0,1,1
South Africa VS West Indies,Test # 2495,Innings 2,Senuran Muthusamy,8,2,10,0,1.25,39,0,0,0,0
India VS Australia,Test # 2496,Innings 1,Mitchell Starc,5,0,21,0,4.20,22,3,0,0,0
India VS Australia,Test # 2496,Innings 1,Cameron Green,2,0,14,0,7.00,8,3,0,0,0
India VS Australia,Test # 2496,Innings 1,Matthew Kuhnemann,9,2,16,5,1.77,43,1,0,0,0
India VS Australia,Test # 2496,Innings 1,Nathan Lyon,11.2,2,35,3,3.08,49,3,1,0,0
India VS Australia,Test # 2496,Innings 1,Todd Murphy,6,1,23,1,3.83,26,1,2,0,0
India VS Australia,Test # 2496,Innings 2,Ravichandran Ashwin,20.3,4,44,3,2.14,88,1,0,0,0
India VS Australia,Test # 2496,Innings 2,Ravindra Jadeja,32,8,78,4,2.43,144,7,0,0,3
India VS Australia,Test # 2496,Innings 2,Axar Patel,13,1,33,0,2.53,60,4,0,0,0
India VS Australia,Test # 2496,Innings 2,Umesh Yadav,5,0,12,3,2.40,23,1,0,0,0
India VS Australia,Test # 2496,Innings 2,Mohammed Siraj,6,1,13,0,2.16,29,1,0,0,2
South Africa VS West Indies,Test # 2497,Innings 1,Kemar Roach,16,3,55,0,3.43,74,9,0,0,2
South Africa VS West Indies,Test # 2497,Innings 1,Alzarri Joseph,18.2,3,60,3,3.27,78,8,0,1,0
South Africa VS West Indies,Test # 2497,Innings 1,Kyle Mayers,9,0,32,3,3.55,38,5,0,0,0
South Africa VS West Indies,Test # 2497,Innings 1,Jason Holder,16,5,39,1,2.43,73,4,0,0,1
South Africa VS West Indies,Test # 2497,Innings 1,Gudakesh Motie,19,3,75,3,3.94,72,10,0,0,0
South Africa VS West Indies,Test # 2497,Innings 1,Roston Chase,14,2,54,0,3.85,55,8,0,0,0
South Africa VS West Indies,Test # 2497,Innings 2,Kagiso Rabada,12,5,19,2,1.58,62,2,0,0,0
South Africa VS West Indies,Test # 2497,Innings 2,Wiaan Mulder,15,4,40,1,2.66,75,5,1,0,3
South Africa VS West Indies,Test # 2497,Innings 2,Gerald Coetzee,14,4,41,3,2.92,70,8,0,0,0
South Africa VS West Indies,Test # 2497,Innings 2,Simon Harmer,17.3,2,63,2,3.60,76,7,2,0,0
South Africa VS West Indies,Test # 2497,Innings 2,Keshav Maharaj,21,4,77,1,3.66,91,9,3,0,0
New Zealand VS Sri Lanka,Test # 2498,Innings 1,Tim Southee,26.4,10,64,5,2.40,131,10,0,0,0
New Zealand VS Sri Lanka,Test # 2498,Innings 1,Matt Henry,26,8,80,4,3.07,123,11,0,0,0
New Zealand VS Sri Lanka,Test # 2498,Innings 1,Blair Tickner,20,2,103,0,5.15,78,13,2,1,0
New Zealand VS Sri Lanka,Test # 2498,Innings 1,Neil Wagner,10,1,68,0,6.80,37,13,0,1,0
New Zealand VS Sri Lanka,Test # 2498,Innings 1,Daryl Mitchell,7,3,17,0,2.42,33,2,0,0,0
New Zealand VS Sri Lanka,Test # 2498,Innings 1,Michael Bracewell,3,0,17,1,5.66,11,2,0,0,0
New Zealand VS Sri Lanka,Test # 2498,Innings 2,Kasun Rajitha,31,10,104,2,3.35,139,12,2,0,0
New Zealand VS Sri Lanka,Test # 2498,Innings 2,Asitha Fernando,29.3,5,85,4,2.88,134,8,1,1,0
New Zealand VS Sri Lanka,Test # 2498,Innings 2,Lahiru Kumara,25,5,76,3,3.04,112,6,2,2,0
New Zealand VS Sri Lanka,Test # 2498,Innings 2,Dhananjaya de Silva,9,2,34,0,3.77,38,1,2,0,0
New Zealand VS Sri Lanka,Test # 2498,Innings 2,Angelo Mathews,3,0,18,0,6.00,9,0,1,0,0
New Zealand VS Sri Lanka,Test # 2498,Innings 2,Prabath Jayasuriya,10,1,46,1,4.60,37,4,1,0,0
India VS Australia,Test # 2499,Innings 1,Mohammed Shami,31,3,134,2,4.32,125,21,0,1,2
India VS Australia,Test # 2499,Innings 1,Umesh Yadav,25,2,105,0,4.20,107,19,0,0,0
India VS Australia,Test # 2499,Innings 1,Ravichandran Ashwin,47.2,15,91,6,1.92,228,10,0,0,0
India VS Australia,Test # 2499,Innings 1,Ravindra Jadeja,35,5,89,1,2.54,154,9,0,0,0
India VS Australia,Test # 2499,Innings 1,Axar Patel,28,8,47,1,1.67,136,4,0,0,0
India VS Australia,Test # 2499,Innings 1,Shreyas Iyer,1,0,2,0,2.00,4,0,0,0,0
India VS Australia,Test # 2499,Innings 2,Mitchell Starc,22,3,97,1,4.40,85,12,1,0,0
India VS Australia,Test # 2499,Innings 2,Cameron Green,18,1,90,0,5.00,66,9,2,0,3
India VS Australia,Test # 2499,Innings 2,Nathan Lyon,65,9,151,3,2.32,296,10,2,0,0
India VS Australia,Test # 2499,Innings 2,Matthew Kuhnemann,25,3,94,1,3.76,92,1,4,0,1
India VS Australia,Test # 2499,Innings 2,Todd Murphy,45.5,10,113,3,2.46,204,11,1,0,0
India VS Australia,Test # 2499,Innings 2,Travis Head,3,0,8,0,2.66,10,0,0,0,0
New Zealand VS Sri Lanka,Test # 2500,Innings 1,Kasun Rajitha,32,6,126,2,3.93,133,11,1,0,6
